date,nav,n_pos
2023-04-06,100000.0,0
2023-04-07,100000.0,0
2023-04-10,98739.51325084342,3
2023-04-11,98394.30644884342,3
2023-04-12,99128.73255784341,3
2023-04-13,97888.15543284341,3
2023-04-14,97596.04732684341,3
2023-04-17,97163.47210361408,2
2023-04-18,97767.40529961408,2
2023-04-19,96978.13402761408,2
2023-04-20,98058.7477156141,2
2023-04-21,97783.33865961409,2
2023-04-24,97525.84673307411,2
2023-04-25,98841.68033307411,2
2023-04-26,98117.5913730741,2
2023-04-27,97549.5468930741,2
2023-04-28,98712.7305730741,2
2023-05-04,99514.83012336552,4
2023-05-05,98980.42598336554,4
2023-05-08,102150.44188645482,9
2023-05-09,100840.2603874548,9
2023-05-10,97976.97357145482,9
2023-05-11,97453.37852245482,9
2023-05-12,96248.51168545481,9
2023-05-15,96265.03349086238,7
2023-05-16,96169.32419086239,7
2023-05-17,96041.48654286239,7
2023-05-18,96712.3412228624,7
2023-05-19,95688.7790918624,7
2023-05-22,95494.61773173805,5
2023-05-23,93969.57569873804,5
2023-05-24,93094.53528373805,5
2023-05-25,93111.57366573805,5
2023-05-26,93572.24181873805,5
2023-05-29,93936.84568915504,2
2023-05-30,93809.61200915504,2
2023-05-31,93973.19816915505,2
2023-06-01,93391.27298915503,2
2023-06-02,93445.91590915504,2
2023-06-05,94665.87946541372,4
2023-06-06,93963.6815244137,4
2023-06-07,93557.59175541371,4
2023-06-08,93474.9745154137,4
2023-06-09,95419.52472241371,4
2023-06-12,95870.16258741371,4
2023-06-13,97163.26614141371,4
2023-06-14,97580.5937644137,4
2023-06-15,97473.31801341371,4
2023-06-16,97914.5726034137,4
2023-06-19,98687.59815348602,2
2023-06-20,98872.39227248603,2
2023-06-21,97981.40618148602,2
2023-06-26,96854.8817127426,2
2023-06-27,96762.1144167426,2
2023-06-28,96063.84838274261,2
2023-06-29,96467.5344767426,2
2023-06-30,96978.8666107426,2
2023-07-03,96751.09514255254,3
2023-07-04,96490.47721955256,3
2023-07-05,95855.90837155255,3
2023-07-06,95915.84494155255,3
2023-07-07,95812.95395555256,3
2023-07-10,95963.78433037383,5
2023-07-11,95885.52191737384,5
2023-07-12,94933.59663737385,5
2023-07-13,95946.62778437385,5
2023-07-14,96846.33905337384,5
2023-07-17,96793.23104560078,5
2023-07-18,96410.15421860077,5
2023-07-19,96354.75021860076,5
2023-07-20,95684.67966160076,5
2023-07-21,95264.95825960077,5
2023-07-24,94936.91635720262,4
2023-07-25,95346.90493120262,4
2023-07-26,95042.25906420262,4
2023-07-27,95065.41978820262,4
2023-07-28,95509.22087920262,4
2023-07-31,94236.97131588036,6
2023-08-01,93757.50492788036,6
2023-08-02,93683.21329788036,6
2023-08-03,95360.12635588036,6
2023-08-04,96451.61009788036,6
2023-08-07,98288.25474278879,5
2023-08-08,95965.1129067888,5
2023-08-09,96050.4323067888,5
2023-08-10,98783.8145507888,5
2023-08-11,95822.08378878879,5
2023-08-14,95699.59463882612,3
2023-08-15,97339.09003882612,3
2023-08-16,97838.86550682611,3
2023-08-17,97458.94165082612,3
2023-08-18,96819.54281082613,3
2023-08-21,96252.48821299776,8
2023-08-22,98555.42710199778,8
2023-08-23,97041.16839699776,8
2023-08-24,95270.55040699776,8
2023-08-25,95934.00388799777,8
2023-08-28,96966.26188273248,7
2023-08-29,96925.23559373248,7
2023-08-30,95078.40813073247,7
2023-08-31,94474.97693673248,7
2023-09-01,93821.00523773248,7
2023-09-04,94164.72079488903,2
2023-09-05,94309.99886188902,2
2023-09-06,94144.73075988902,2
2023-09-07,94172.46079088902,2
2023-09-08,94020.61081388903,2
2023-09-11,94031.09082878548,4
2023-09-12,93937.67880178549,4
2023-09-13,94329.77760378548,4
2023-09-14,94751.16160478548,4
2023-09-15,94228.45208678549,4
2023-09-18,94024.68237046152,3
