name,total,cagr,sharpe,maxdd,n,pnl_mean,bps_mean,bps_median,win_rate,fees_comm,fees_stamp,fees_slip,orders_free,orders_all,turnover_yy,avg_pos
naive_eq20,0.1127006103894703,0.0315933163001309,0.461611013254858,-0.0918282949365367,555.0,20.484063351954944,182.395991531371,-80.8525508105333,0.4378378378378378,729.1297158640872,1121.9604597881694,4499.182054400999,908,1080,13.104694948632606,6.574850299401198
naive_eq10,0.0627546808905081,0.0178858877808887,0.2111967889245742,-0.1635103889350135,399.0,18.588609064771926,241.67378526135613,-66.10229169097005,0.4411027568922305,5057.717874765988,1603.587502948357,6446.72397223501,56,765,18.777315871302694,4.041916167664671
qp_lam5,-0.0544104907651532,-0.0161634347755561,-0.1162619937240993,-0.1854778091316518,419.0,-10.072517813308528,147.77831423347774,-129.0547486511048,0.4105011933174224,2240.325395038698,932.7967916478306,3766.8572808290032,349,755,10.971740718913273,4.89940119760479
qp_lam20,0.1149649440094837,0.032204329176996,0.4714048476101113,-0.1158769875339038,565.0,19.299433212315748,157.5617368857915,-91.24929887388284,0.4336283185840708,1473.46502920262,878.6585920523167,3540.457959796996,702,972,10.312284026136137,6.18562874251497
milp_feeaware,0.2459192843966666,0.0661373273057159,0.3812991176319026,-0.3192205923710696,1039.0,22.80964344883813,79.40815017365632,-130.1832489321504,0.3811357074109721,5259.904844964743,2594.8063485891644,10470.86094978,1229,2104,30.498497902606665,15.4874251497006
milp_feeblind,0.2355437599757468,0.0635436746998554,0.3714293430962846,-0.3286928609104497,855.0,27.40891158720504,101.55384596104946,-138.8353756936956,0.3883040935672515,6693.187935944401,2463.5577277744787,9944.680362707006,588,1723,28.96590060829528,14.631137724550898
milp_w5,0.5111302251115308,0.12778131061669762,0.6738398260804581,-0.1891038358679048,1041.0,47.17193484768231,138.49222070546847,-131.88353447195743,0.3909702209414025,3382.10553558914,2409.3047931483425,9725.238525109984,1492,2151,28.32673043737728,21.180838323353292
milp_tp5,0.24027838557752124,0.06472913405407033,0.376487296573729,-0.32305860649424223,1059.0,21.756007094693587,75.79892103736378,-130.1832489321504,0.3881019830028329,5191.102345640544,2609.129994870896,10528.253053737004,1264,2132,30.665662820001025,15.58562874251497
hs300_bh,0.16004946836070233,0.04107814519896924,0.32646839204257083,-0.24803913984688242,,,,,,0.0,0.0,0.0,0,0,0.0,1.0
