date,nav,n_pos
2023-04-06,100000.0,0
2023-04-07,100000.0,0
2023-04-10,99932.940163706,1
2023-04-11,99919.70597570599,1
2023-04-12,100037.710818706,1
2023-04-13,99953.894294706,1
2023-04-14,99999.11110370599,1
2023-04-17,100267.59584298599,2
2023-04-18,100375.902016986,2
2023-04-19,100102.849408986,2
2023-04-20,100373.339565986,2
2023-04-21,100331.788056986,2
2023-04-24,100280.00385075575,2
2023-04-25,100708.60314675575,2
2023-04-26,100427.07633075575,2
2023-04-27,100410.84863475575,2
2023-04-28,100913.76573075575,2
2023-05-04,101955.32889250875,6
2023-05-05,101794.43053850875,6
2023-05-08,104399.43486500741,11
2023-05-09,103970.92654600742,11
2023-05-10,101686.5953190074,11
2023-05-11,101183.3763310074,11
2023-05-12,100947.9395040074,11
2023-05-15,100645.44100931584,10
2023-05-16,100710.20446231583,10
2023-05-17,100582.65355731582,10
2023-05-18,101127.18211931581,10
2023-05-19,100318.35625331584,10
2023-05-22,100522.51049410677,8
2023-05-23,99569.06182510676,8
2023-05-24,98503.99459810677,8
2023-05-25,98458.27280010679,8
2023-05-26,98823.23819210677,8
2023-05-29,99423.82312098783,5
2023-05-30,99232.02200098784,5
2023-05-31,99174.17242098783,5
2023-06-01,98674.21296198784,5
2023-06-02,98637.91347998784,5
2023-06-05,99208.96236534923,6
2023-06-06,98682.62953934923,6
2023-06-07,98697.38184834922,6
2023-06-08,99172.52681034923,6
2023-06-09,99761.65594634923,6
2023-06-12,99360.40743558524,7
2023-06-13,99254.08593358523,7
2023-06-14,98726.44275458524,7
2023-06-15,98951.32154858524,7
2023-06-16,98687.85626958523,7
2023-06-19,98992.1993721485,3
2023-06-20,98926.2801911485,3
2023-06-21,98865.49679614851,3
2023-06-26,98816.8605503485,4
2023-06-27,98847.8500303485,4
2023-06-28,98911.78631734851,4
2023-06-29,98950.4767553485,4
2023-06-30,99068.4513173485,4
2023-07-03,99286.5919948961,6
2023-07-04,99156.4431008961,6
2023-07-05,98906.1150158961,6
2023-07-06,98913.7688848961,6
2023-07-07,98937.6338138961,6
2023-07-10,98922.20239487085,7
2023-07-11,98566.33747187085,7
2023-07-12,98324.28045887085,7
2023-07-13,98974.39174587085,7
2023-07-14,99527.95257287085,7
2023-07-17,99247.0833274512,5
2023-07-18,98972.5184394512,5
2023-07-19,98882.7321514512,5
2023-07-20,98261.2501694512,5
2023-07-21,98221.4113034512,5
2023-07-24,98292.70173140596,5
2023-07-25,98050.01151940596,5
2023-07-26,97992.36178940597,5
2023-07-27,98082.19547140597,5
2023-07-28,98354.33229340595,5
2023-07-31,97920.64756700092,8
2023-08-01,97609.56056400092,8
2023-08-02,97598.95471800092,8
2023-08-03,98742.40039400093,8
2023-08-04,99608.02682600092,8
2023-08-07,100692.85412706966,8
2023-08-08,99570.58373806966,8
2023-08-09,99377.43856406966,8
2023-08-10,100578.77692306966,8
2023-08-11,98759.36260106965,8
2023-08-14,98831.4288524898,8
2023-08-15,99555.24586148979,8
2023-08-16,100298.88557948978,8
2023-08-17,100401.10822148979,8
2023-08-18,99802.29472648978,8
2023-08-21,99086.02304952781,9
2023-08-22,99660.92837252781,9
2023-08-23,99207.59976152782,9
2023-08-24,98940.17610452781,9
2023-08-25,99413.7362375278,9
2023-08-28,99974.66195896067,9
2023-08-29,99757.19710796067,9
2023-08-30,99455.03121596065,9
2023-08-31,99885.26388496067,9
2023-09-01,100052.83637796066,9
2023-09-04,100301.65922567926,7
2023-09-05,100540.53938667927,7
2023-09-06,100282.82905167926,7
2023-09-07,100549.89919767927,7
2023-09-08,100407.11979867927,7
2023-09-11,100332.20811450218,7
2023-09-12,100300.98788150217,7
2023-09-13,100339.68279550219,7
2023-09-14,100479.15090050218,7
2023-09-15,99800.46581950218,7
2023-09-18,99702.52279396125,6
2023-09-19,99885.70966096125,6
