strategy,date,code,side,lots,value,fee
qp_lam20,2023-04-10,sh.601138,BUY,1,1993.7370392939997,0.0
qp_lam20,2023-04-17,sh.601857,BUY,4,4215.906414719999,0.0
qp_lam20,2023-04-24,sh.601138,SELL,1,2075.689748484,1.0378448742420001
qp_lam20,2023-04-24,sh.601857,BUY,3,3355.23556368,0.0
qp_lam20,2023-04-24,sh.688009,BUY,4,2960.6808831599997,0.0
qp_lam20,2023-05-04,sh.601857,SELL,1,1162.11048624,0.58105524312
qp_lam20,2023-05-04,sh.601998,BUY,7,7763.0241048359985,6.2104192838687995
qp_lam20,2023-05-04,sh.600028,BUY,2,4027.0781911359995,0.0
qp_lam20,2023-05-04,sh.600023,BUY,5,4084.6464458799996,0.0
qp_lam20,2023-05-04,sh.601319,BUY,4,2666.0294741079997,0.0
qp_lam20,2023-05-08,sh.601998,SELL,1,1191.262099446,0.5956310497230001
qp_lam20,2023-05-08,sh.600023,BUY,4,3464.216852096,0.0
qp_lam20,2023-05-08,sh.601988,BUY,9,8010.374899526999,6.4082999196216
qp_lam20,2023-05-08,sh.601319,BUY,4,2858.0185033399994,0.0
qp_lam20,2023-05-08,sh.601288,BUY,6,4113.355478232,0.0
qp_lam20,2023-05-08,sh.600011,BUY,1,3868.0363491769995,0.0
qp_lam20,2023-05-08,sh.601186,BUY,1,1635.0801406939997,0.0
qp_lam20,2023-05-08,sh.601658,BUY,1,653.789047912,0.0
qp_lam20,2023-05-15,sh.601857,SELL,3,3408.2449833600003,1.7041224916800002
qp_lam20,2023-05-15,sh.600028,SELL,2,3878.120895102,1.939060447551
qp_lam20,2023-05-15,sh.601988,SELL,1,890.4351435299999,0.44521757176499993
qp_lam20,2023-05-15,sh.601288,SELL,1,667.272724335,0.33363636216750003
qp_lam20,2023-05-15,sh.601186,SELL,1,1469.8269037979999,0.7349134518989999
qp_lam20,2023-05-15,sh.601658,SELL,1,598.86968085,0.299434840425
qp_lam20,2023-05-15,sh.601319,BUY,3,2071.517991543,0.0
qp_lam20,2023-05-15,sh.600025,BUY,9,7865.97826014,6.292782608112001
qp_lam20,2023-05-15,sh.601898,BUY,2,2302.7036132099997,0.0
qp_lam20,2023-05-22,sh.601857,SELL,3,3440.39823792,1.72019911896
qp_lam20,2023-05-22,sh.688009,SELL,4,2563.758882792,1.281879441396
qp_lam20,2023-05-22,sh.601998,SELL,1,1191.262099446,0.5956310497230001
qp_lam20,2023-05-22,sh.601988,SELL,1,907.809487794,0.45390474389700003
qp_lam20,2023-05-22,sh.601288,SELL,1,678.5505731970001,0.33927528659850004
qp_lam20,2023-05-22,sh.600011,SELL,1,3553.630109703,1.7768150548515
