strategy,date,code,side,lots,value,fee
milp_w5,2023-05-29,sh.601898,SELL,4,4357.507642488,2.178753821244
milp_w5,2023-05-29,sh.600015,SELL,2,4532.18452875,2.266092264375
milp_w5,2023-05-29,sz.002600,SELL,1,2534.897401164,1.2674487005819999
milp_w5,2023-05-29,sh.601328,BUY,3,3934.4129124299993,0.0
milp_w5,2023-05-29,sh.600025,BUY,5,4283.051823049999,0.0
milp_w5,2023-05-29,sh.600875,BUY,1,4572.943508132999,0.0
milp_w5,2023-05-29,sh.601916,BUY,4,1350.866829312,0.0
milp_w5,2023-06-05,sh.601336,SELL,1,4444.34159961,2.222170799805
milp_w5,2023-06-05,sh.601319,SELL,7,4656.229798310999,2.3281148991554996
milp_w5,2023-06-05,sh.601881,SELL,3,3852.2005673759995,1.926100283688
milp_w5,2023-06-05,sh.601077,SELL,9,4156.6459692240005,2.0783229846120004
milp_w5,2023-06-05,sz.003816,SELL,14,4682.39224068,2.3411961203400002
milp_w5,2023-06-05,sh.601816,SELL,8,4521.428030016,2.260714015008
milp_w5,2023-06-05,sh.600875,SELL,1,4603.774414203,2.3018872071014997
milp_w5,2023-06-05,sh.601916,SELL,4,1338.805518336,0.669402759168
milp_w5,2023-06-05,sh.601138,BUY,2,3987.4740785879994,0.0
milp_w5,2023-06-05,sh.688183,BUY,3,3801.6207509280002,0.0
milp_w5,2023-06-05,sh.688303,BUY,1,4668.641952975,0.0
milp_w5,2023-06-05,sz.000100,BUY,4,4521.037673151999,0.0
milp_w5,2023-06-05,sh.601727,BUY,8,4293.275226239999,0.0
milp_w5,2023-06-05,sz.002938,BUY,1,2703.4390383,0.0
milp_w5,2023-06-05,sh.601169,BUY,2,3937.5758422,0.0
milp_w5,2023-06-05,sh.600010,BUY,3,4044.567631104,0.0
milp_w5,2023-06-12,sh.601998,SELL,4,4516.79696172,2.25839848086
milp_w5,2023-06-12,sh.600011,SELL,1,3691.635162507,1.8458175812535
milp_w5,2023-06-12,sz.000617,SELL,1,4331.40491934,2.16570245967
milp_w5,2023-06-12,sz.000166,SELL,6,4162.15187181,2.081075935905
milp_w5,2023-06-12,sh.601985,SELL,6,4753.169316756001,2.3765846583780004
milp_w5,2023-06-12,sh.600025,SELL,5,4367.04083775,2.183520418875
milp_w5,2023-06-12,sh.601727,SELL,8,4175.06747328,2.0875337366399997
milp_w5,2023-06-12,sh.601169,SELL,1,2022.7657734359998,1.011382886718
milp_w5,2023-06-12,sh.600010,SELL,3,3949.680413952,1.974840206976
milp_w5,2023-06-12,sh.601658,BUY,7,4400.5032071,0.0
milp_w5,2023-06-12,sh.601390,BUY,4,4109.4749696,0.0
milp_w5,2023-06-12,sh.601398,BUY,4,4268.100877039999,0.0
milp_w5,2023-06-12,sh.601939,BUY,3,4112.021833919999,0.0
milp_w5,2023-06-12,sh.688009,BUY,7,4659.176758235999,0.0
milp_w5,2023-06-12,sh.601319,BUY,7,4734.274925379999,0.0
milp_w5,2023-06-12,sh.601336,BUY,1,4511.8816743,0.0
milp_w5,2023-06-12,sh.601006,BUY,2,3441.5892511,0.0
milp_w5,2023-06-19,sh.601988,SELL,5,4300.150205340001,2.1500751026700007
milp_w5,2023-06-19,sh.601288,SELL,7,4710.381541362,2.355190770681
milp_w5,2023-06-19,sh.600027,SELL,4,3898.8204728040005,1.9494102364020003
milp_w5,2023-06-19,sh.601328,SELL,3,3926.5519475700003,1.963275973785
milp_w5,2023-06-19,sh.688303,SELL,1,4621.16756664,2.31058378332
milp_w5,2023-06-19,sz.002938,SELL,1,2729.78117631,1.364890588155
milp_w5,2023-06-19,sh.601169,SELL,1,1944.1716022800001,0.9720858011400001
milp_w5,2023-06-19,sh.601658,SELL,7,4088.2836879359998,2.044141843968
milp_w5,2023-06-19,sh.601390,SELL,4,4024.3655260799997,2.0121827630399998
milp_w5,2023-06-19,sh.601398,SELL,4,4091.8734705599995,2.0459367352799998
milp_w5,2023-06-19,sh.601939,SELL,3,3923.4872573279995,1.9617436286639998
milp_w5,2023-06-19,sh.688009,SELL,7,4509.90514044,2.25495257022
milp_w5,2023-06-19,sh.601319,SELL,7,4671.471139713,2.3357355698565003
milp_w5,2023-06-19,sh.601006,SELL,2,3292.8925432680003,1.6464462716340003
milp_w5,2023-06-19,sh.601136,BUY,3,4522.518,0.0
milp_w5,2023-06-19,sh.601899,BUY,1,2507.3397058709998,0.0
milp_w5,2023-06-19,sh.603993,BUY,2,3914.84206113,0.0
milp_w5,2023-06-19,sh.601881,BUY,3,4016.575803239999,0.0
milp_w5,2023-06-26,sh.603993,SELL,2,3678.8225589360004,1.8394112794680002
milp_w5,2023-06-26,sh.601127,BUY,1,3955.3444530599995,0.0
milp_w5,2023-06-26,sz.002600,BUY,1,2816.9826695009997,0.0
milp_w5,2023-06-26,sz.001965,BUY,4,4297.220091164,0.0
milp_w5,2023-06-26,sh.601288,BUY,7,4640.708744672,0.0
milp_w5,2023-06-26,sh.601328,BUY,3,3887.01034722,0.0
milp_w5,2023-06-26,sh.601688,BUY,2,3475.359349462,0.0
milp_w5,2023-06-26,sz.000725,BUY,3,4455.219112344,0.0
milp_w5,2023-06-26,sh.601398,BUY,4,4074.8600892999993,0.0
milp_w5,2023-07-03,sh.688183,SELL,3,3866.8653199439996,1.9334326599719998
milp_w5,2023-07-03,sz.000100,SELL,4,4675.6524672,2.3378262336
milp_w5,2023-07-03,sh.601136,SELL,3,4255.74,2.12787
milp_w5,2023-07-03,sh.601398,SELL,4,4058.33352408,2.02916676204
milp_w5,2023-07-03,sh.601988,BUY,5,4265.236295319999,0.0
milp_w5,2023-07-03,sh.601898,BUY,4,4315.342903872,0.0
milp_w5,2023-07-03,sh.600938,BUY,2,4018.1593151699994,0.0
milp_w5,2023-07-03,sh.601225,BUY,1,2490.7266624239996,0.0
milp_w5,2023-07-03,sh.601985,BUY,5,4101.972529655,0.0
milp_w5,2023-07-03,sz.003816,BUY,13,4399.075035354999,0.0
milp_w5,2023-07-03,sh.600015,BUY,2,4582.4171553159995,0.0
milp_w5,2023-07-10,sh.601899,SELL,1,2408.726668194,1.2043633340970001
milp_w5,2023-07-10,sh.601881,SELL,3,3885.4665480959998,1.942733274048
milp_w5,2023-07-10,sz.001965,SELL,4,4439.277810468,2.219638905234
milp_w5,2023-07-10,sh.601288,SELL,7,4631.436599328001,2.3157182996640002
milp_w5,2023-07-10,sh.601328,SELL,3,3899.5188876899997,1.9497594438449999
milp_w5,2023-07-10,sh.601988,SELL,5,4224.137449185,2.1120687245925
milp_w5,2023-07-10,sh.600015,SELL,2,4547.948221278,2.273974110639
milp_w5,2023-07-10,sh.600026,BUY,2,3841.9693612299993,0.0
milp_w5,2023-07-10,sh.600027,BUY,4,4405.2098410319995,0.0
milp_w5,2023-07-10,sh.601919,BUY,2,3922.2140237279996,0.0
milp_w5,2023-07-10,sh.601238,BUY,2,3906.985930847999,0.0
milp_w5,2023-07-10,sh.600875,BUY,1,4765.672928016,0.0
milp_w5,2023-07-10,sz.000100,BUY,3,3671.8790428319994,0.0
milp_w5,2023-07-10,sz.003816,BUY,1,343.99300235299995,0.0
milp_w5,2023-07-10,sh.601788,BUY,2,4114.156906859999,0.0
milp_w5,2023-07-17,sh.601225,SELL,1,2561.647571217,1.2808237856085
milp_w5,2023-07-17,sz.003816,SELL,4,1364.27673762,0.68213836881
milp_w5,2023-07-17,sh.600027,SELL,4,4024.792055124,2.012396027562
milp_w5,2023-07-17,sh.601919,SELL,2,3789.492010704,1.8947460053520002
milp_w5,2023-07-17,sh.601238,SELL,2,3782.838958416,1.8914194792080001
milp_w5,2023-07-17,sh.601788,SELL,2,4048.8754556159997,2.024437727808
milp_w5,2023-07-17,sh.601169,BUY,2,4103.368905635999,0.0
milp_w5,2023-07-17,sz.000166,BUY,6,4279.99394823,0.0
milp_w5,2023-07-17,sz.300498,BUY,1,3820.523186479999,0.0
milp_w5,2023-07-17,sh.601328,BUY,3,4028.9057668859996,0.0
milp_w5,2023-07-17,sh.601288,BUY,7,4772.547061282,0.0
milp_w5,2023-07-24,sh.600028,SELL,2,3992.00727672,1.99600363836
milp_w5,2023-07-24,sh.601138,SELL,2,5021.758956258,6.5282866431354005
milp_w5,2023-07-24,sz.003816,SELL,10,3365.9614592099997,1.682980729605
milp_w5,2023-07-24,sz.000166,SELL,6,4235.012298449999,2.1175061492249996
milp_w5,2023-07-24,sh.601881,BUY,3,3945.2135142419993,0.0
milp_w5,2023-07-24,sh.600989,BUY,3,4578.856213932,0.0
milp_w5,2023-07-24,sh.601816,BUY,7,3921.0811419779993,0.0
milp_w5,2023-07-24,sh.601988,BUY,5,4306.762344885,0.0
milp_w5,2023-07-31,sh.600023,SELL,6,5229.5223628799995,6.798379071744
milp_w5,2023-07-31,sh.600482,SELL,1,4704.4036872,2.3522018436
